State,Total,White,Black,N.A.,Asian,N.H.P.I.,Hispanic,Mixed,BHW,HAW
Alabama,4876250,3320247,1299048,25565,66270,2238,70662,92220,6933,85287
Alaska,737068,476015,24205,109751,45920,9204,11308,60665,3011,57654
Arizona,7050299,5444453,317462,317414,233213,14458,460262,263037,50674,212363
Arkansas,2999370,2301044,459542,20434,45504,8733,83576,80537,7658,72879
California,39283497,23453222,2274108,303998,5692423,155290,5481792,1922664,414894,1507770
Colorado,5610349,4712574,233647,54847,178147,8643,216767,205724,33882,171842
Connecticut,3575074,2714031,383416,9955,161257,1123,186292,119000,25143,93857
Delaware,957248,658237,212302,3729,37009,542,18350,27079,3059,24020
District of Columbia,692683,285857,320811,2091,27592,376,34511,21445,3037,18408
Florida,20901636,15702256,3359031,59320,571276,12653,625079,572021,95083,476938
Georgia,10403847,6098889,3289020,37440,414481,6233,291872,265912,39023,226889
Hawaii,1422094,354847,26025,3710,537355,142997,17433,339727,9194,330533
Idaho,1717750,1545409,11918,23136,24287,2755,59676,50569,7968,42601
Illinois,12770631,9134903,1813590,33460,698524,4477,757231,328446,62705,265741
Indiana,6665703,5553391,626587,15782,151979,2506,145747,169711,21981,147730
Iowa,3139508,2826070,116359,11976,75741,3729,39048,66585,5683,60902
Kansas,2910652,2455935,170291,24010,85794,2382,71683,100557,8964,91593
Kentucky,4449052,3868479,358928,9386,65191,3182,43601,100285,8650,91635
Louisiana,4664362,2892275,1502963,26361,80806,1406,65592,94959,8371,86588
Maine,1335492,1259522,18468,8660,15109,396,3541,29796,1467,28329
Maryland,6018848,3343003,1799094,16762,378126,3034,272137,206692,23109,183583
Massachusetts,6850553,5348538,522357,14764,452436,2804,286619,223035,35324,187711
Michigan,9965265,7813755,1374314,53316,311721,3099,117801,291259,26495,264764
Minnesota,5563378,4609049,356515,58011,268181,2194,104032,165396,14838,150558
Mississippi,2984418,1743217,1125623,14269,29605,680,30728,40296,3103,37193
Missouri,6104910,5015904,701334,27084,120654,8231,71335,160368,10895,149473
Montana,1050649,930204,5303,66839,8259,807,7076,32161,1827,30334
Nebraska,1914571,1666871,92406,17673,45655,1327,40253,50386,5104,45282
Nevada,2972382,1949707,271005,38026,242267,20022,304947,146408,24017,122391
New Hampshire,1348124,1252128,21546,2036,36180,443,7510,28281,1999,26282
New Jersey,8878503,6018074,1194882,19711,840168,3458,558665,243545,55033,188512
New Mexico,2092454,1565366,44120,199845,32577,1644,180638,68264,22252,46012
New York,19572319,12459687,3065471,79512,1647606,8821,1694965,616257,148526,467731
North Carolina,10264876,7049919,2200761,123952,292992,7213,316763,273276,28131,245145
North Dakota,756717,655136,21985,40006,11006,863,8109,19612,1305,18307
Ohio,11655397,9476047,1446193,22816,258199,3880,112836,335426,25623,309803
Oklahoma,3932870,2844070,286356,299621,85239,6260,106709,304615,14276,290339
Oregon,4129803,3480920,78679,48060,180580,16625,126587,198352,20355,177997
Pennsylvania,12791530,10300602,1430664,24691,436324,4198,275177,319874,40362,279512
Rhode Island,1057231,850597,71561,5277,35958,810,57807,35221,8244,26977
South Carolina,5020806,3372011,1344139,17645,78805,4002,88274,115930,12267,103663
South Dakota,870638,733719,17531,76190,12627,504,7230,22837,1099,21738
Tennessee,6709356,5205132,1124473,18189,117600,3771,92655,147536,12138,135398
Texas,28260856,20903375,3428211,141425,1357273,25292,1643869,761411,159939,601472
Utah,3096848,2676482,36849,33721,71977,27554,156229,94036,15370,78666
Vermont,624313,587883,8502,2132,10461,325,2410,12600,428,12172
Virginia,8454463,5717617,1621592,23873,541133,6179,223794,320275,32870,287405
Washington,7404107,5581128,281683,94449,631333,49090,333038,433386,43021,390365
West Virginia,1817305,1691600,66990,3667,14523,419,7971,32135,1698,30437
Wisconsin,5790716,4946961,371200,51392,161841,2400,118350,138572,17096,121476
Wyoming,581024,531304,5582,14164,5025,596,8832,15521,1874,13647
Puerto Rico,3318447,2188014,386676,6838,6237,269,554764,175649,15254,160395
